Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.095	0.07	0.1441	0.2236	0.1266	0.9531	0.0465	0.775	0.024	
0.095	0.075	0.1414	0.2154	0.1221	0.9115	0.052	0.6731	0.0271	
0.095	0.08	0.1428	0.2039	0.1158	0.849	0.0715	0.6282	0.0379	
0.095	0.085	0.167	0.2045	0.1167	0.8281	0.1258	0.7295	0.0688	
0.095	0.09	0.2088	0.2055	0.1181	0.7917	0.2119	0.798	0.1222	
0.095	0.095	0.3441	0.2306	0.1359	0.7604	0.4284	0.8881	0.2823	
0.095	0.1	0.4431	0.2543	0.1538	0.7344	0.5556	0.9102	0.3998	
0.095	0.105	0.4754	0.2531	0.1551	0.6875	0.5957	0.9054	0.4439	
0.095	0.11	0.4815	0.2495	0.1535	0.6667	0.6039	0.9017	0.454	
0.095	0.115	0.4828	0.2456	0.1513	0.651	0.6066	0.8983	0.4578	
0.095	0.12	0.4801	0.2387	0.1472	0.6302	0.6053	0.8929	0.4578	
0.095	0.125	0.4781	0.2334	0.1441	0.6146	0.6044	0.8889	0.4578	
0.095	0.13	0.4768	0.2299	0.142	0.6042	0.6038	0.8862	0.4578	
0.095	0.135	0.4768	0.2299	0.142	0.6042	0.6038	0.8862	0.4578	
0.095	0.14	0.4754	0.2264	0.1399	0.5938	0.6032	0.8836	0.4578	
0.095	0.145	0.4747	0.2247	0.1388	0.5885	0.6029	0.8823	0.4578	
0.095	0.15	0.4747	0.2247	0.1388	0.5885	0.6029	0.8823	0.4578	
0.1	0.04	0.1414	0.2315	0.1309	1.0	0.0275	1.0	0.0139	
0.1	0.045	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.1	0.05	0.1434	0.2319	0.1311	1.0	0.032	1.0	0.0162	
0.1	0.055	0.1448	0.2322	0.1313	1.0	0.035	1.0	0.0178	
0.1	0.06	0.1461	0.2306	0.1305	0.9896	0.0408	0.931	0.0209	
0.1	0.065	0.1475	0.2299	0.1302	0.9844	0.0452	0.9091	0.0232	
0.1	0.07	0.1468	0.2232	0.1265	0.9479	0.0538	0.7826	0.0278	
0.1	0.075	0.1455	0.2152	0.1221	0.9062	0.0621	0.7	0.0325	
0.1	0.08	0.1481	0.2039	0.116	0.8438	0.084	0.6591	0.0449	
0.1	0.085	0.1744	0.2049	0.117	0.8229	0.1415	0.7481	0.0781	
0.1	0.09	0.2222	0.2073	0.1194	0.7865	0.2366	0.8136	0.1384	
0.1	0.095	0.3973	0.2447	0.146	0.7552	0.4986	0.9045	0.3442	
0.1	0.1	0.5414	0.2839	0.1779	0.7031	0.6627	0.9215	0.5174	
0.1	0.105	0.6034	0.298	0.1932	0.651	0.7236	0.92	0.5963	
0.1	0.11	0.6162	0.2946	0.1932	0.6198	0.7364	0.916	0.6156	
0.1	0.115	0.6182	0.2904	0.1911	0.6042	0.7388	0.9134	0.6203	
0.1	0.12	0.6162	0.2803	0.185	0.5781	0.7383	0.9085	0.6218	
0.1	0.125	0.6141	0.2738	0.1809	0.5625	0.7373	0.9054	0.6218	
0.1	0.13	0.6114	0.265	0.1754	0.5417	0.7359	0.9013	0.6218	
0.1	0.135	0.6114	0.265	0.1754	0.5417	0.7359	0.9013	0.6218	
0.1	0.14	0.6101	0.2605	0.1726	0.5312	0.7353	0.8993	0.6218	
0.1	0.145	0.6088	0.2561	0.1698	0.5208	0.7346	0.8973	0.6218	
0.1	0.15	0.6088	0.2561	0.1698	0.5208	0.7346	0.8973	0.6218	
0.105	0.04	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.105	0.045	0.1441	0.232	0.1312	1.0	0.0335	1.0	0.017	
0.105	0.05	0.1448	0.2322	0.1313	1.0	0.035	1.0	0.0178	
0.105	0.055	0.1475	0.2327	0.1317	1.0	0.0409	1.0	0.0209	
0.105	0.06	0.1488	0.2311	0.1309	0.9896	0.0468	0.9394	0.024	
0.105	0.065	0.1508	0.2306	0.1306	0.9844	0.0526	0.9211	0.0271	
