Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.09	0.14	0.9104	0.6376	0.6686	0.6094	0.9489	0.9427	0.9551	
0.09	0.145	0.9104	0.6376	0.6686	0.6094	0.9489	0.9427	0.9551	
0.09	0.15	0.9104	0.6356	0.6705	0.6042	0.9489	0.9421	0.9559	
0.095	0.04	0.8525	0.5731	0.4579	0.7656	0.9109	0.9613	0.8654	
0.095	0.045	0.8694	0.5992	0.4966	0.7552	0.922	0.9606	0.8863	
0.095	0.05	0.8822	0.6137	0.5326	0.724	0.9305	0.9567	0.9056	
0.095	0.055	0.8909	0.6284	0.5615	0.7135	0.9361	0.9557	0.9172	
0.095	0.06	0.897	0.6366	0.5852	0.6979	0.94	0.9538	0.9265	
0.095	0.065	0.8976	0.6311	0.5909	0.6771	0.9406	0.951	0.9304	
0.095	0.07	0.903	0.6418	0.6143	0.6719	0.9439	0.9506	0.9374	
0.095	0.075	0.9077	0.6514	0.6368	0.6667	0.9468	0.9502	0.9435	
0.095	0.08	0.9111	0.6562	0.6562	0.6562	0.949	0.949	0.949	
0.095	0.085	0.9098	0.6492	0.6526	0.6458	0.9482	0.9475	0.949	
0.095	0.09	0.9084	0.6421	0.6489	0.6354	0.9475	0.946	0.949	
0.095	0.095	0.9098	0.6436	0.6576	0.6302	0.9483	0.9454	0.9513	
0.095	0.1	0.9118	0.6488	0.6685	0.6302	0.9496	0.9456	0.9536	
0.095	0.105	0.9118	0.6488	0.6685	0.6302	0.9496	0.9456	0.9536	
0.095	0.11	0.9111	0.6452	0.6667	0.625	0.9492	0.9448	0.9536	
0.095	0.115	0.9104	0.6415	0.6648	0.6198	0.9488	0.9441	0.9536	
0.095	0.12	0.9125	0.6448	0.6782	0.6146	0.9501	0.9436	0.9567	
0.095	0.125	0.9131	0.6466	0.6821	0.6146	0.9505	0.9436	0.9575	
0.095	0.13	0.9125	0.6429	0.6802	0.6094	0.9501	0.9429	0.9575	
0.095	0.135	0.9125	0.6409	0.6824	0.6042	0.9502	0.9422	0.9582	
0.095	0.14	0.9125	0.6409	0.6824	0.6042	0.9502	0.9422	0.9582	
0.095	0.145	0.9131	0.6427	0.6864	0.6042	0.9506	0.9422	0.959	
0.095	0.15	0.9125	0.6369	0.6867	0.5938	0.9502	0.9409	0.9598	
0.1	0.04	0.8525	0.5731	0.4579	0.7656	0.9109	0.9613	0.8654	
0.1	0.045	0.8694	0.5992	0.4966	0.7552	0.922	0.9606	0.8863	
0.1	0.05	0.8822	0.6137	0.5326	0.724	0.9305	0.9567	0.9056	
0.1	0.055	0.8909	0.6284	0.5615	0.7135	0.9361	0.9557	0.9172	
0.1	0.06	0.8963	0.6333	0.5833	0.6927	0.9396	0.9531	0.9265	
0.1	0.065	0.8976	0.6293	0.5917	0.6719	0.9406	0.9503	0.9312	
0.1	0.07	0.903	0.64	0.6154	0.6667	0.944	0.9499	0.9381	
0.1	0.075	0.9077	0.6496	0.6382	0.6615	0.9469	0.9495	0.9443	
0.1	0.08	0.9111	0.6545	0.6579	0.651	0.949	0.9483	0.9497	
0.1	0.085	0.9098	0.6474	0.6543	0.6406	0.9483	0.9468	0.9497	
0.1	0.09	0.9084	0.6402	0.6505	0.6302	0.9475	0.9453	0.9497	
0.1	0.095	0.9098	0.6417	0.6593	0.625	0.9484	0.9447	0.952	
0.1	0.1	0.9118	0.6469	0.6704	0.625	0.9496	0.9449	0.9544	
0.1	0.105	0.9118	0.6469	0.6704	0.625	0.9496	0.9449	0.9544	
0.1	0.11	0.9111	0.6432	0.6685	0.6198	0.9492	0.9441	0.9544	
0.1	0.115	0.9104	0.6396	0.6667	0.6146	0.9489	0.9434	0.9544	
0.1	0.12	0.9125	0.6429	0.6802	0.6094	0.9501	0.9429	0.9575	
0.1	0.125	0.9131	0.6446	0.6842	0.6094	0.9505	0.9429	0.9582	
0.1	0.13	0.9125	0.6409	0.6824	0.6042	0.9502	0.9422	0.9582	
0.1	0.135	0.9125	0.6389	0.6845	0.599	0.9502	0.9415	0.959	
0.1	0.14	0.9125	0.6389	0.6845	0.599	0.9502	0.9415	0.959	
0.1	0.145	0.9131	0.6407	0.6886	0.599	0.9506	0.9416	0.9598	
0.1	0.15	0.9125	0.6348	0.689	0.5885	0.9503	0.9402	0.9606	
0.105	0.04	0.8519	0.5703	0.4562	0.7604	0.9105	0.9605	0.8654	
0.105	0.045	0.868	0.5934	0.4931	0.7448	0.9212	0.959	0.8863	
0.105	0.05	0.8808	0.6075	0.529	0.7135	0.9297	0.9551	0.9056	
0.105	0.055	0.8896	0.6221	0.5579	0.7031	0.9353	0.9541	0.9172	
0.105	0.06	0.8949	0.625	0.5804	0.6771	0.9389	0.9508	0.9273	
0.105	0.065	0.8949	0.6139	0.5849	0.6458	0.9392	0.9466	0.9319	
0.105	0.07	0.8997	0.6209	0.607	0.6354	0.9422	0.9455	0.9389	
0.105	0.075	0.9044	0.6302	0.6302	0.6302	0.9451	0.9451	0.9451	
0.105	0.08	0.9077	0.6347	0.6503	0.6198	0.9472	0.9439	0.9505	
0.105	0.085	0.9064	0.6273	0.6464	0.6094	0.9465	0.9425	0.9505	
0.105	0.09	0.9051	0.6199	0.6425	0.599	0.9457	0.941	0.9505	
0.105	0.095	0.9064	0.6213	0.6514	0.5938	0.9466	0.9405	0.9528	
0.105	0.1	0.9084	0.6264	0.6628	0.5938	0.9478	0.9406	0.9551	
0.105	0.105	0.9084	0.6264	0.6628	0.5938	0.9478	0.9406	0.9551	
0.105	0.11	0.9077	0.6226	0.6608	0.5885	0.9474	0.9399	0.9551	
0.105	0.115	0.9071	0.6188	0.6588	0.5833	0.9471	0.9392	0.9551	
0.105	0.12	0.9091	0.6218	0.6727	0.5781	0.9483	0.9386	0.9582	
