Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.5	128	10	0.0005	4	24	2	1.16	7.15	1234.9	
MLP	8	0.5	128	10	0.0005	4	24	4	1.14	6.87	1326.88	
MLP	8	0.5	128	10	0.0005	4	48	1	0.93	6.67	1431.39	
MLP	8	0.5	128	10	0.0005	4	48	2	1.01	7.2	1218.12	
MLP	8	0.5	128	10	0.0005	4	48	4	0.99	6.58	1444.07	
MLP	8	0.5	128	10	0.0005	8	8	1	1.29	6.84	1333.94	
MLP	8	0.5	128	10	0.0005	8	8	2	1.58	6.77	1369.58	
MLP	8	0.5	128	10	0.0005	8	8	4	1.76	6.98	1291.25	
MLP	8	0.5	128	10	0.0005	8	24	1	1.02	7.27	1188.37	
MLP	8	0.5	128	10	0.0005	8	24	2	1.11	6.67	1412.76	
MLP	8	0.5	128	10	0.0005	8	24	4	1.13	6.72	1397.66	
MLP	8	0.5	128	10	0.0005	8	48	1	0.93	7.15	1221.96	
MLP	8	0.5	128	10	0.0005	8	48	2	0.96	7.08	1255.22	
MLP	8	0.5	128	10	0.0005	8	48	4	1.01	6.97	1292.16	
MLP	8	0.5	128	10	0.0005	16	8	1	1.35	6.89	1318.28	
MLP	8	0.5	128	10	0.0005	16	8	2	1.4	7.12	1232.18	
MLP	8	0.5	128	10	0.0005	16	8	4	1.51	6.87	1326.29	
MLP	8	0.5	128	10	0.0005	16	24	1	1.09	7.36	1165.59	
MLP	8	0.5	128	10	0.0005	16	24	2	1.01	7.02	1277.3	
MLP	8	0.5	128	10	0.0005	16	24	4	1.04	6.52	1478.1	
MLP	8	0.5	128	10	0.0005	16	48	1	0.93	6.81	1345.36	
MLP	8	0.5	128	10	0.0005	16	48	2	0.95	6.78	1370.1	
MLP	8	0.5	128	10	0.0005	16	48	4	0.97	6.51	1496.77	
MLP	8	0.5	128	20	0.0005	4	8	1	1.21	6.9	1311.65	
MLP	8	0.5	128	20	0.0005	4	8	2	1.7	7.05	1259.67	
