Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.024	0.136	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.138	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.14	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.142	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.14400000000000002	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.146	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.14800000000000002	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.15	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.152	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.154	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.156	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.158	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.16	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.162	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.16399999999999998	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.166	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.168	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.17	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.172	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.174	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.17600000000000002	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
