Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.105	0.085	0.7428	0.4724	0.3214	0.8906	0.8299	0.978	0.7208	
0.105	0.09	0.7616	0.4899	0.3386	0.8854	0.8445	0.9776	0.7432	
0.105	0.095	0.7859	0.5138	0.3636	0.875	0.8627	0.9765	0.7726	
0.105	0.1	0.8047	0.5338	0.386	0.8646	0.8765	0.9754	0.7958	
0.105	0.105	0.8182	0.5515	0.4049	0.8646	0.886	0.9758	0.8113	
0.105	0.11	0.8236	0.5559	0.4121	0.8542	0.8899	0.9742	0.819	
0.105	0.115	0.8269	0.5561	0.416	0.8385	0.8925	0.9718	0.8252	
0.105	0.12	0.8296	0.5585	0.4199	0.8333	0.8945	0.971	0.8291	
0.105	0.125	0.8316	0.5614	0.4233	0.8333	0.8958	0.9711	0.8314	
0.105	0.13	0.8323	0.5608	0.424	0.8281	0.8964	0.9703	0.8329	
